Using device = cuda
Training params:
MAX_GRAD_NORM=1.2, 
      EPSILON = 10, 
      DELTA = 1e-05,
      EPOCHS = 30, 
      LR = 0.01 
	Train Epoch: 0 	Loss: 3.386290 Acc@1: 11.427879 (ε spent so far = 2.96, δ = 1e-05)
	Train Epoch: 0 	Loss: 2.871912 Acc@1: 12.590086 (ε spent so far = 3.36, δ = 1e-05)
	Train Epoch: 0 	Loss: 2.679321 Acc@1: 13.346761 (ε spent so far = 3.59, δ = 1e-05)
	Train Epoch: 0 	Loss: 2.579074 Acc@1: 13.657373 (ε spent so far = 3.76, δ = 1e-05)
	Train Epoch: 0 	Loss: 2.512171 Acc@1: 14.152089 (ε spent so far = 3.89, δ = 1e-05)
	Train Epoch: 0 	Loss: 2.465471 Acc@1: 14.880114 (ε spent so far = 4.01, δ = 1e-05)
	Train Epoch: 0 	Loss: 2.426297 Acc@1: 15.539092 (ε spent so far = 4.10, δ = 1e-05)
	Train Epoch: 0 	Loss: 2.391610 Acc@1: 16.219556 (ε spent so far = 4.19, δ = 1e-05)
	Train Epoch: 0 	Loss: 2.364098 Acc@1: 16.776979 (ε spent so far = 4.26, δ = 1e-05)
	Train Epoch: 0 	Loss: 2.339887 Acc@1: 17.359808 (ε spent so far = 4.33, δ = 1e-05)
	Test set:Loss: 2.103736 Acc: 21.550000 
	Train Epoch: 1 	Loss: 2.131517 Acc@1: 22.546000 (ε spent so far = 4.40, δ = 1e-05)
	Train Epoch: 1 	Loss: 2.124628 Acc@1: 22.167520 (ε spent so far = 4.46, δ = 1e-05)
	Train Epoch: 1 	Loss: 2.114854 Acc@1: 22.157493 (ε spent so far = 4.52, δ = 1e-05)
	Train Epoch: 1 	Loss: 2.105763 Acc@1: 22.417233 (ε spent so far = 4.57, δ = 1e-05)
	Train Epoch: 1 	Loss: 2.099075 Acc@1: 22.718453 (ε spent so far = 4.63, δ = 1e-05)
	Train Epoch: 1 	Loss: 2.093413 Acc@1: 22.938496 (ε spent so far = 4.67, δ = 1e-05)
	Train Epoch: 1 	Loss: 2.088235 Acc@1: 23.075450 (ε spent so far = 4.72, δ = 1e-05)
	Train Epoch: 1 	Loss: 2.083947 Acc@1: 23.247114 (ε spent so far = 4.77, δ = 1e-05)
	Train Epoch: 1 	Loss: 2.078556 Acc@1: 23.466635 (ε spent so far = 4.81, δ = 1e-05)
	Train Epoch: 1 	Loss: 2.071418 Acc@1: 23.708218 (ε spent so far = 4.86, δ = 1e-05)
	Test set:Loss: 1.992897 Acc: 27.220000 
	Train Epoch: 2 	Loss: 1.998865 Acc@1: 26.872210 (ε spent so far = 4.90, δ = 1e-05)
	Train Epoch: 2 	Loss: 2.002624 Acc@1: 26.782273 (ε spent so far = 4.94, δ = 1e-05)
	Train Epoch: 2 	Loss: 1.996956 Acc@1: 26.955485 (ε spent so far = 4.98, δ = 1e-05)
	Train Epoch: 2 	Loss: 1.997654 Acc@1: 26.632495 (ε spent so far = 5.02, δ = 1e-05)
	Train Epoch: 2 	Loss: 1.989834 Acc@1: 27.040496 (ε spent so far = 5.05, δ = 1e-05)
	Train Epoch: 2 	Loss: 1.984919 Acc@1: 27.225063 (ε spent so far = 5.09, δ = 1e-05)
	Train Epoch: 2 	Loss: 1.977274 Acc@1: 27.657060 (ε spent so far = 5.13, δ = 1e-05)
